Max Temp,Cloudiness,Humidity,Country,Wind Speed,Lng,City,Lat,Date,parsed_time
18.23,0,45,CN,5.37,101.77,Xining,36.62,1580002704,2020-01-26 01:38:24
50,90,93,US,9.17,-72.94,Middle Island,40.88,1580002705,2020-01-26 01:38:25
74.1,32,54,AU,10.18,135.87,Port Lincoln,-34.73,1580002706,2020-01-26 01:38:26
91.4,0,11,AU,14.99,130.99,Yulara,-25.24,1580002497,2020-01-26 01:34:57
77,75,94,GT,4.7,-91.92,Champerico,14.3,1580002708,2020-01-26 01:38:28
74.68,69,74,AO,12.53,12.15,Mossamedes,-15.2,1580002710,2020-01-26 01:38:30
57.87,100,57,MX,5.73,-101.98,Acuitzio,20.34,1580002711,2020-01-26 01:38:31
50.99,43,46,LY,9.4,21.29,Awjilah,29.11,1580002710,2020-01-26 01:38:30
79.38,85,79,PH,18.59,121.97,Basco,20.45,1580002713,2020-01-26 01:38:33
84.87,48,72,PG,11.7,150.8,Kavieng,-2.57,1580002555,2020-01-26 01:35:55
-3.3,0,91,RU,4.47,136.63,Solnechnyy,50.72,1580002640,2020-01-26 01:37:20
84.2,75,79,PW,12.75,134.26,Kloulklubed,7.04,1580002716,2020-01-26 01:38:36
13.77,29,93,RU,5.12,37.98,Lipin Bor,60.26,1580002717,2020-01-26 01:38:37
62.6,0,100,IN,4.18,85.85,Puri,19.8,1580002718,2020-01-26 01:38:38
62.82,0,72,ZW,4.34,28.58,Bulawayo,-20.15,1580002719,2020-01-26 01:38:39
79,75,78,AI,1.12,-63.06,The Valley,18.22,1580002621,2020-01-26 01:37:01
57.72,100,65,PT,8.63,-27.98,Lagoa,39.05,1580002533,2020-01-26 01:35:33
70.93,0,12,GH,2.04,-0.52,Salaga,8.55,1580002723,2020-01-26 01:38:43
43.92,0,62,IQ,6.24,44.97,Kifri,34.7,1580002724,2020-01-26 01:38:44
25.77,100,80,RU,12.77,38.45,Myshkin,57.79,1580002725,2020-01-26 01:38:45
